Rank,Title,Author,Publisher,Genre
1,"Da Vinci Code,The","Brown, Dan",Transworld,"Crime, Thriller & Adventure"
2,Harry Potter and the Deathly Hallows,"Rowling, J.K.",Bloomsbury,Children's Fiction
3,Harry Potter and the Philosopher's Stone,"Rowling, J.K.",Bloomsbury,Children's Fiction
4,Harry Potter and the Order of the Phoenix,"Rowling, J.K.",Bloomsbury,Children's Fiction
5,Fifty Shades of Grey,"James, E. L.",Random House,Romance & Sagas
6,Harry Potter and the Goblet of Fire,"Rowling, J.K.",Bloomsbury,Children's Fiction
7,Harry Potter and the Chamber of Secrets,"Rowling, J.K.",Bloomsbury,Children's Fiction
8,Harry Potter and the Prisoner of Azkaban,"Rowling, J.K.",Bloomsbury,Children's Fiction
9,Angels and Demons,"Brown, Dan",Transworld,"Crime, Thriller & Adventure"
10,Harry Potter and the Half-blood Prince:Children's Edition,"Rowling, J.K.",Bloomsbury,Children's Fiction
11,Fifty Shades Darker,"James, E. L.",Random House,Romance & Sagas
12,Twilight,"Meyer, Stephenie","Little, Brown Book",Young Adult Fiction
13,"Girl with the Dragon Tattoo,The:Millennium Trilogy","Larsson, Stieg",Quercus,"Crime, Thriller & Adventure"
14,Fifty Shades Freed,"James, E. L.",Random House,Romance & Sagas
15,"Lost Symbol,The","Brown, Dan",Transworld,"Crime, Thriller & Adventure"
16,New Moon,"Meyer, Stephenie","Little, Brown Book",Young Adult Fiction
17,Deception Point,"Brown, Dan",Transworld,"Crime, Thriller & Adventure"
18,Eclipse,"Meyer, Stephenie","Little, Brown Book",Young Adult Fiction
19,"Lovely Bones,The","Sebold, Alice",Pan Macmillan,General & Literary Fiction
20,"Curious Incident of the Dog in the Night-time,The","Haddon, Mark",Random House,General & Literary Fiction
21,Digital Fortress,"Brown, Dan",Transworld,"Crime, Thriller & Adventure"
22,"Short History of Nearly Everything,A","Bryson, Bill",Transworld,Popular Science
23,"Girl Who Played with Fire,The:Millennium Trilogy","Larsson, Stieg",Quercus,"Crime, Thriller & Adventure"
24,Breaking Dawn,"Meyer, Stephenie","Little, Brown Book",Young Adult Fiction
25,"Very Hungry Caterpillar,The:The Very Hungry Caterpillar","Carle, Eric",Penguin,Picture Books
26,"Gruffalo,The","Donaldson, Julia",Pan Macmillan,Picture Books
27,Jamie's 30-Minute Meals,"Oliver, Jamie",Penguin,Food & Drink: General
28,"Kite Runner,The","Hosseini, Khaled",Bloomsbury,General & Literary Fiction
29,One Day,"Nicholls, David",Hodder & Stoughton,General & Literary Fiction
30,"Thousand Splendid Suns,A","Hosseini, Khaled",Bloomsbury,General & Literary Fiction
31,"Girl Who Kicked the Hornets' Nest,The:Millennium Trilogy","Larsson, Stieg",Quercus,"Crime, Thriller & Adventure"
32,"Time Traveler's Wife,The","Niffenegger, Audrey",Random House,General & Literary Fiction
33,Atonement,"McEwan, Ian",Random House,General & Literary Fiction
34,Bridget Jones's Diary:A Novel,"Fielding, Helen",Pan Macmillan,General & Literary Fiction
35,"World According to Clarkson,The","Clarkson, Jeremy",Penguin,Humour: Collections & General
36,Captain Corelli's Mandolin,"Bernieres, Louis de",Random House,General & Literary Fiction
37,"Sound of Laughter,The","Kay, Peter",Random House,Autobiography: General
38,Life of Pi,"Martel, Yann",Canongate,General & Literary Fiction
39,Billy Connolly,"Stephenson, Pamela",HarperCollins,Biography: The Arts
40,"Child Called It,A","Pelzer, Dave",Orion,Autobiography: General
41,"Gruffalo's Child,The","Donaldson, Julia",Pan Macmillan,Picture Books
42,Angela's Ashes:A Memoir of a Childhood,"McCourt, Frank",HarperCollins,Autobiography: General
43,Birdsong,"Faulks, Sebastian",Random House,General & Literary Fiction
44,Northern Lights:His Dark Materials S.,"Pullman, Philip",Scholastic Ltd.,Young Adult Fiction
45,Labyrinth,"Mosse, Kate",Orion,General & Literary Fiction
46,Harry Potter and the Half-blood Prince,"Rowling, J.K.",Bloomsbury,Science Fiction & Fantasy
47,"Help,The","Stockett, Kathryn",Penguin,General & Literary Fiction
48,Man and Boy,"Parsons, Tony",HarperCollins,General & Literary Fiction
49,Memoirs of a Geisha,"Golden, Arthur",Random House,General & Literary Fiction
50,"No.1 Ladies' Detective Agency,The:No.1 Ladies' Detective Agency S.","McCall Smith, Alexander","Little, Brown Book","Crime, Thriller & Adventure"
51,"Island,The","Hislop, Victoria",Headline,General & Literary Fiction
52,"PS, I Love You","Ahern, Cecelia",HarperCollins,General & Literary Fiction
53,You are What You Eat:The Plan That Will Change Your Life,"McKeith, Gillian",Penguin,Fitness & Diet
54,"Shadow of the Wind,The","Zafon, Carlos Ruiz",Orion,General & Literary Fiction
55,"Tales of Beedle the Bard,The","Rowling, J.K.",Bloomsbury,Children's Fiction
56,"Broker,The","Grisham, John",Random House,"Crime, Thriller & Adventure"
57,"Dr. Atkins' New Diet Revolution:The No-hunger, Luxurious Weight Loss P","Atkins, Robert C.",Random House,Fitness & Diet
58,"Subtle Knife,The:His Dark Materials S.","Pullman, Philip",Scholastic Ltd.,Young Adult Fiction
59,"Eats, Shoots and Leaves:The Zero Tolerance Approach to Punctuation","Truss, Lynne",Profile Books Group,Usage & Writing Guides
60,Delia's How to Cook:(Bk.1),"Smith, Delia",Random House,Food & Drink: General
61,Chocolat,"Harris, Joanne",Transworld,General & Literary Fiction
62,"Boy in the Striped Pyjamas,The","Boyne, John",Random House Childrens Books G,Young Adult Fiction
63,My Sister's Keeper,"Picoult, Jodi",Hodder & Stoughton,General & Literary Fiction
64,"Amber Spyglass,The:His Dark Materials S.","Pullman, Philip",Scholastic Ltd.,Young Adult Fiction
65,To Kill a Mockingbird,"Lee, Harper",Random House,General & Literary Fiction
66,"Men are from Mars, Women are from Venus:A Practical Guide for Improvin","Gray, John",HarperCollins,Popular Culture & Media: General Interest
67,Dear Fatty,"French, Dawn",Random House,Autobiography: The Arts
68,"Short History of Tractors in Ukrainian,A","Lewycka, Marina",Penguin,General & Literary Fiction
69,Hannibal,"Harris, Thomas",Random House,"Crime, Thriller & Adventure"
70,"Lord of the Rings,The","Tolkien, J. R. R.",HarperCollins,Science Fiction & Fantasy
71,Stupid White Men:...and Other Sorry Excuses for the State of the Natio,"Moore, Michael",Penguin,Current Affairs & Issues
72,"Interpretation of Murder,The","Rubenfeld, Jed",Headline,"Crime, Thriller & Adventure"
73,Sharon Osbourne Extreme:My Autobiography,"Osbourne, Sharon","Little, Brown Book",Autobiography: The Arts
74,"Alchemist,The:A Fable About Following Your Dream","Coelho, Paulo",HarperCollins,General & Literary Fiction
75,At My Mother's Knee ...:and Other Low Joints,"O'Grady, Paul",Transworld,Autobiography: The Arts
76,Notes from a Small Island,"Bryson, Bill",Transworld,Travel Writing
77,"Return of the Naked Chef,The","Oliver, Jamie",Penguin,Food & Drink: General
78,Bridget Jones: The Edge of Reason,"Fielding, Helen",Pan Macmillan,General & Literary Fiction
79,Jamie's Italy,"Oliver, Jamie",Penguin,National & Regional Cuisine
80,I Can Make You Thin,"McKenna, Paul",Transworld,Fitness & Diet
81,Down Under,"Bryson, Bill",Transworld,Travel Writing
82,"Summons,The","Grisham, John",Random House,"Crime, Thriller & Adventure"
83,Small Island,"Levy, Andrea",Headline,General & Literary Fiction
84,Nigella Express,"Lawson, Nigella",Random House,Food & Drink: General
85,Brick Lane,"Ali, Monica",Transworld,General & Literary Fiction
86,"Memory Keeper's Daughter,The","Edwards, Kim",Penguin,General & Literary Fiction
87,Room on the Broom,"Donaldson, Julia",Pan Macmillan,Picture Books
88,About a Boy,"Hornby, Nick",Penguin,General & Literary Fiction
89,My Booky Wook,"Brand, Russell",Hodder & Stoughton,Autobiography: The Arts
90,"God Delusion,The","Dawkins, Richard",Transworld,Popular Science
91,"""Beano"" Annual,The",0,D.C. Thomson,Children's Annuals
92,White Teeth,"Smith, Zadie",Penguin,General & Literary Fiction
93,"House at Riverton,The","Morton, Kate",Pan Macmillan,General & Literary Fiction
94,"Book Thief,The","Zusak, Markus",Transworld,General & Literary Fiction
95,Nights of Rain and Stars,"Binchy, Maeve",Orion,General & Literary Fiction
96,"Ghost,The","Harris, Robert",Random House,General & Literary Fiction
97,Happy Days with the Naked Chef,"Oliver, Jamie",Penguin,Food & Drink: General
98,"Hunger Games,The:Hunger Games Trilogy","Collins, Suzanne",Scholastic Ltd.,Young Adult Fiction
99,"Lost Boy,The:A Foster Child's Search for the Love of a Family","Pelzer, Dave",Orion,Biography: General
100,Jamie's Ministry of Food:Anyone Can Learn to Cook in 24 Hours,"Oliver, Jamie",Penguin,Food & Drink: General
