title,imdbid,imdbscore,imdbvotes,releaseyear
Monty Pythons Flying Circus,tt0063929,8.8,72895,1969
Monty Pythons Fliegender Zirkus,tt0202477,8.1,2144,1972
Seinfeld,tt0098904,8.9,302700,1989
Knight Rider,tt0083437,6.9,33760,1982
Thomas and Friends,tt0086815,6.5,4948,1984
Saved by the Bell,tt0096694,7.1,34854,1989
Wheel of Fortune,tt0072584,6.7,3126,1983
Major Dad,tt0096643,6.4,2866,1989
Fireman Sam,tt0329829,6.1,1759,1987
Danger Mouse,tt0081848,7.4,3514,1981
High Risk,tt0094478,3.8,6,1988
Survivor,tt0239195,7.4,24368,2000
Stargate SG1,tt0118480,8.4,90196,1997
Pokemon,tt0168366,7.6,172,1997
One Piece,tt0388629,8.8,112586,1999
Cowboy Bebop,tt0213338,8.9,112887,1998
Star Trek Deep Space Nine,tt0106145,8.1,61145,1993
The Challenge,tt0176095,7.8,3274,1998
Gilmore Girls,tt0238784,8.2,119054,2000
Neon Genesis Evangelion,tt0112159,8.5,64727,1995
The Magic School Bus,tt0108847,7.8,9708,1994
Power Rangers,tt0106064,6.5,21949,1993
Adventures of Sonic the Hedgehog,tt0222518,6.2,3808,1993
Goosebumps,tt0111987,7.6,13361,1995
YuGiOh,tt4834194,7.2,20888,1998
InuYasha,tt0290223,7.9,15823,2000
Barney and Friends,tt0144701,3.8,9955,1992
Moesha,tt0115275,5.7,3713,1996
Sister Sister,tt0108927,6.2,12535,1994
Cardcaptor Sakura,tt0221735,8,4936,1998
Girlfriends,tt0247102,7.2,4482,2000
The Parkers,tt0200353,6.8,2346,1999
Dales Supermarket Sweep,tt0962853,7.1,39,1993
Oggy and the Cockroaches,tt0213363,7.4,4185,1999
H,tt0173554,7.4,1703,1998
Heartbreak High,tt0108800,7.8,3106,1994
Okupas,tt0289649,9,2326,2000
Breaking Bad,tt0903747,9.5,1727694,2008
The Walking Dead,tt1520211,8.2,945125,2010
The Staircase,tt0388644,7.8,21531,2004
Downton Abbey,tt1606375,8.7,197744,2010
Greys Anatomy,tt0413573,7.6,293618,2005
The Great British Baking Show,tt1877368,8.6,9564,2010
Criminal Minds,tt0452046,8.1,189191,2005
NCIS,tt0364845,7.8,141049,2003
Community,tt1439629,8.5,252564,2009
Heartland,tt1094229,8.4,15743,2007
Supernatural,tt0460681,8.5,428639,2005
Arrested Development,tt0367279,8.7,297552,2003
The IT Crowd,tt0487831,8.5,147409,2006
30 Rock,tt0496424,8.3,121514,2006
Avatar The Last Airbender,tt0417299,9.3,297336,2005
Friday Night Lights,tt0758745,8.7,64449,2006
My Little Pony Friendship Is Magic,tt1751105,7.6,20708,2010
The Fairly OddParents,tt0235918,7.2,38046,2001
Sonic X,tt0367413,6.1,4577,2003
DEATH NOTE,tt0877057,9,302147,2006
The Vampire Diaries,tt1405406,7.7,310776,2009
Naruto,tt0409591,8.4,93980,2002
Americas Next Top Model,tt0391576,5.6,17843,2003
Chappelles Show,tt0353049,8.8,62140,2003
Trailer Park Boys,tt0290988,8.6,41791,2001
Borgen,tt1526318,8.5,23523,2010
iCarly,tt0972534,6.7,38281,2007
Victorious,tt1604099,6.9,24224,2010
Merlin,tt1199099,7.9,80138,2008
Offspring,tt1530541,8.3,4764,2010
Gurren Lagann,tt0948103,8.3,17024,2007
Code Geass Lelouch of the Rebellion,tt0994314,8.7,62367,2006
Transformers Prime,tt1659175,7.9,6500,2010
The Mole,tt0294149,7.6,1104,2001
The 4400,tt0389564,7.3,44971,2004
Still Game,tt0281491,8.9,7539,2002
Midnight Diner,tt1882928,8.6,2110,2009
H2O Just Add Water,tt0491603,7.2,14782,2006
Black Butler,tt1316554,8.3,1856,2008
Octonauts,tt1710177,7.6,1049,2010
Strawberry Shortcake,tt7996132,7,13,2003
Total Drama Island,tt1173427,7.4,10523,2007
Boys Over Flowers,tt1370334,7.9,11579,2009
Winx Club,tt3233214,6.2,6700,2004
Big Time Rush,tt1131746,6.3,12046,2009
Dead Set,tt1285482,7.6,19684,2008
Toradora,tt1279024,8,14307,2008
Shaun the Sheep,tt0983983,8,25,2007
Scare Tactics,tt0339968,6.7,2512,2003
Kath and Kim,tt0272397,8.3,4168,2002
Pocoyo,tt0487849,3.9,93,2005
The Game,tt10020984,6.6,4417,2006
Angel Beats,tt1639109,7.7,13848,2010
Masha and the Bear,tt1884856,7.6,3114,2009
Monty Python Almost the Truth ,tt1422182,8.1,1740,2009
The Legend of Bruce Lee,tt1059455,7,1422,2008
Ouran High School Host Club,tt0816397,8.2,9763,2006
The Ultimatum,tt1682704,5.4,6,2009
Mobile Suit Gundam Unicorn,tt1630623,7.8,1291,2010
Johnny Test,tt15061770,5.1,8172,2005
Code Lyoko,tt0417311,7.3,5109,2003
Iris,tt1399791,7.8,1951,2009
DreamWorks Shreks Swamp Stories,tt6950338,6.5,330,2010
Ben and Hollys Little Kingdom,tt1436544,7.5,1222,2009
The Garfield Show,tt1470837,5.3,2499,2009
Wakfu,tt1807824,8.1,1469,2008
Dinosaur King,tt1524993,5.6,720,2007
Vampire Knight,tt1209393,7.3,5172,2008
Dennoh Coil,tt1033796,7.9,863,2007
Zig and Sharko,tt2046005,6.8,644,2010
One on One,tt0284770,7,2303,2001
The Cartel,tt1260520,8.1,755,2008
The Mafia Dolls,tt1585368,6.6,284,2009
Horrid Henry,tt0985991,6.3,912,2006
Bo on the Go,tt1516172,4.1,118,2007
Einsatzgruppen The Nazi Death Squads,tt6953928,7.6,603,2009
Half and Half,tt0320024,7,1827,2002
Timmy Time,tt1125758,6.9,1083,2009
Vientos de agua,tt0459724,8.7,1034,2006
Oscars Oasis,tt2080922,7.4,572,2010
Trotro,tt1074443,6.2,120,2004
Tayo the Little Bus,tt3270208,5.2,156,2010
Autumns Concerto,tt3530668,7.9,475,2009
DreamWorks Spooky Stories,tt6958564,6.2,19,2009
Behind Enemy Lines,tt5170230,7.2,42,2001
Fated to Love You,tt1483930,7.4,461,2008
Nuevo Rico Nuevo Pobre,tt1233451,7.2,203,2007
Pecados capitales,tt0355119,8.5,190,2002
Chhota Bheem,tt4570986,4.1,822,2008
Monty Pythons Personal Best,tt0795156,7.9,437,2006
El cartel 2  La guerra total,tt1667724,6.8,228,2010
Edge of the Universe,tt6951568,7.2,206,2002
Mighty Raju,tt6491030,4.2,57,2010
The Fierce Wife,tt4304720,6.8,90,2010
The Hospital,tt2823414,7.4,40,2006
Khawatir,tt3062514,9.6,3046,2005
Black and White,tt1508870,7.6,302,2009
The Prince Who Turns into a Frog,tt1454440,6.8,128,2005
Cocaine,tt0907286,7.1,60,2005
Breakout,tt7131684,6.7,7,2010
At Dolphin Bay,tt8612066,6.9,39,2003
My MVP Valentine,tt6286390,6.5,27,2002
Pink Zone,tt11194518,6.1,47,2007
Unriddle,tt12229764,8,25,2010
Cocomong,tt9892608,5.6,11,2008
Call the Midwife,tt1983079,8.5,25562,2012
New Girl,tt1826940,7.7,216209,2011
Black Mirror,tt2085059,8.8,515577,2011
Longmire,tt1836037,8.3,34362,2012
Shameless,tt1586680,8.6,230243,2011
Happy Endings,tt2311579,7.8,37778,2011
Last Tango in Halifax,tt2216156,8.3,6844,2012
Ink Master,tt1865740,7.4,3874,2012
Top Boy,tt1830379,8.4,22420,2011
Hunter x Hunter,tt2098220,9,87857,2011
Arrow,tt2193021,7.5,425716,2012
The Legend of Korra,tt1695360,8.4,117464,2012
Sword Art Online,tt2250192,7.6,43727,2012
The Borgias,tt1582457,7.9,50556,2011
Ninjago Masters of Spinjitzu,tt1871731,7.2,4519,2012
Puella Magi Madoka Magica,tt1773185,8.3,9055,2011
Transformers Rescue Bots,tt2139371,6.4,915,2012
Teen Mom 2,tt1821220,4.5,28,2011
Comedians in Cars Getting Coffee,tt2314952,8,12363,2012
Lilyhammer,tt1958961,7.9,29196,2012
TIGER and BUNNY,tt2061527,7.3,998,2011
Fate and Zero,tt2051178,8.2,12568,2011
Blue Exorcist,tt1799631,7.5,12741,2011
Barbie Life in the Dreamhouse,tt2644032,7.3,1806,2012
anohana The Flower We Saw That Day,tt1913273,8.2,12682,2011
Magi,tt2425098,7.8,3899,2012
Cuckoo,tt2329333,5.9,20,2012
Thermae Romae,tt2230761,6.1,108,2012
My Babysitters a Vampire,tt1727434,6.9,4367,2011
Kurokos Basketball,tt2348803,8.3,8052,2012
Rita,tt1973692,8.1,8718,2012
Wolverine,tt1847521,6.2,1458,2011
LEGO City,tt7530250,5,37,2011
MeatEater,tt2169245,7.5,1462,2012
Outback Truckers,tt5632186,7.4,264,2012
